#node	identifier	category	term ID	term description
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0002064	Epithelial cell development
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0006915	Apoptotic process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0008219	Cell death
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0009888	Tissue development
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0009987	Cellular process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0010941	Regulation of cell death
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0010942	Positive regulation of cell death
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0012501	Programmed cell death
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0016043	Cellular component organization
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0030154	Cell differentiation
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0030198	Extracellular matrix organization
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0030855	Epithelial cell differentiation
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0032502	Developmental process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0042981	Regulation of apoptotic process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0043062	Extracellular structure organization
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0043065	Positive regulation of apoptotic process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0043067	Regulation of programmed cell death
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0043068	Positive regulation of programmed cell death
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0043473	Pigmentation
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0045229	External encapsulating structure organization
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0048066	Developmental pigmentation
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0048468	Cell development
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0048518	Positive regulation of biological process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0048522	Positive regulation of cellular process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0048856	Anatomical structure development
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0048869	Cellular developmental process
ADAMTSL4	9606.ENSP00000358035	GO Process	GO:0050789	Regulation of biological process
